s.n,UOM,LINE ITEM,PART NO,DESCREPTION,RFQ,DATE/RFQ,QTY,PRICE/RFQ,RES. DATE,Catogry,PO,DATE /PO,Quantity/PO,PRICE/PO,TOTAL PO,THE CONDITION OF RFQ,BUYER,NOTE,مطلوب مراجعه السعر,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
25.0,EACH,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR FRANCE TELEMECANIQUE 220V 50/60HZ ITH 50A - 15 KW - 400V , REF PN/2102034 FOR  ELECTRIC GRILL & DEEP FAT FRYER",25R000174,2025-01-06 00:00:00,4.0,3300,2025-01-13 00:00:00,ELEC,P25E02099,2025-02-16 00:00:00,12.0,3300,39600.0,منتهي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
446.0,EACH,1531.032.GENRAL.7513,LC1D 32M7 ,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R000724,2025-01-16 00:00:00,4.0,3100,2025-01-22 00:00:00,ELEC,P25E01836,2025-02-16 00:00:00,4.0,3100,12400.0,منتهي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7 
464.0,EACH,1531.032.GENRAL.7513,LC1D 32M7 ,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R000724,2025-01-16 00:00:00,3.0,3100,2025-01-22 00:00:00,ELEC,P25E02228,2025-02-16 00:00:00,3.0,3100,9300.0,منتهي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7 
468.0,EACH,1531.032.GENRAL.7513,LC1D 32M7 ,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R000724,2025-01-16 00:00:00,4.0,3100,2025-01-22 00:00:00,ELEC,P25E01836,2025-02-16 00:00:00,4.0,3100,12400.0,منتهي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7 
475.0,EACH,1531.032.GENRAL.7513,LC1D 32M7 ,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R000724,2025-01-16 00:00:00,2.0,3100,2025-01-22 00:00:00,ELEC,P25E03938,2025-03-06 00:00:00,2.0,3100,6200.0,منتهي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7 
486.0,EACH,1531.032.GENRAL.7513,LC1D 32M7 ,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R000724,2025-01-16 00:00:00,12.0,3100,2025-01-22 00:00:00,ELEC,,,,,0.0,منتهي,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7 
1672.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R002473,2025-02-17 00:00:00,2.0,3100,2025-02-24 00:00:00,ELEC,,,,,0.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
1834.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R002847,2025-02-24 00:00:00,2.0,3100,2025-03-03 00:00:00,ELEC,,,,,0.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
1835.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R002851,2025-02-24 00:00:00,4.0,3100,2025-03-03 00:00:00,ELEC,,,,,0.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
1999.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003265,2025-03-03 00:00:00,4.0,3100,2025-03-06 00:00:00,ELEC,,,,,0.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
2086.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003336,2025-03-03 00:00:00,5.0,3090,2025-03-10 00:00:00,ELEC,P25E04397,2025-03-13 00:00:00,5.0,3090,15450.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
2087.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003336,2025-03-03 00:00:00,,3090,2025-03-10 00:00:00,ELEC,P25E04563,2025-03-17 00:00:00,1.0,3090,3090.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003336,2025-03-03 00:00:00,,3090,2025-03-10 00:00:00,ELEC,P25E04563,2025-03-17 00:00:00,2.0,3090,6180.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003351,2025-03-03 00:00:00,6.0,3090,2025-03-10 00:00:00,ELEC,P25E04382,2025-03-16 00:00:00,6.0,3090,18540.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
2114.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003351,2025-03-03 00:00:00,,3100,2025-03-10 00:00:00,ELEC,P25E06298,2025-04-10 00:00:00,4.0,3100,12400.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003400,2025-03-03 00:00:00,1.0,3100,2025-03-10 00:00:00,ELEC,,,,,0.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
2304.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R003657,2025-03-09 00:00:00,2.0,3100,2025-03-12 00:00:00,ELEC,P25E06074,2025-04-09 00:00:00,6.0,3100,18600.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC1D 32M7
3127.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R005294,2025-04-15 00:00:00,3.0,3120,2025-04-22 00:00:00,,P25E07621,2025-05-04 00:00:00,3.0,3120,9360.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XB4BS8442
3128.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R005294,2025-04-15 00:00:00,,3120,2025-04-22 00:00:00,ELEC,P25E09872,2025-05-27 00:00:00,5.0,3120,15600.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDN20-24-100C
3129.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R005294,2025-04-15 00:00:00,,3120,2025-04-22 00:00:00,ELEC,P25E10075,2025-05-29 00:00:00,2.0,3120,6240.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3626.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R007284,2025-05-25 00:00:00,2.0,3120,2025-05-28 00:00:00,GENRAL,,,,,0.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P250002-0002-70
3769.0,Each,1531.032.GENRAL.7513,LC1D 32M7,"P/N : LC1D 32 M7 , SCHNIEDER CONTACTOR
FRANCE TELEMECANIQUE 220V 50/60HZ ITH
50A - 15 KW - 400V , REF. PN/ 2102034 FOR
ELECTRIC GRILL & DEEP FAT FRYER",25R007698,2025-06-02 00:00:00,3.0,3100,2025-06-08 00:00:00,ELEC,P25E12953,2025-07-10 00:00:00,3.0,3100,9300.0,منتهي,YOUSSEF SHAWKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M8E-LSG-40-EWL
